home_elo,away_elo,elo_diff,home_win_rate,away_win_rate,win_rate_diff,home_avg_goals,away_avg_goals,avg_goals_diff,home_avg_goals_against,away_avg_goals_against,avg_goals_against_diff,home_last5_win_rate,away_last5_win_rate,last5_win_rate_diff,home_last5_goal_diff,away_last5_goal_diff,last5_goal_diff_diff,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,neutral,tournament_weight,match_id,date,home_team,away_team,home_score,away_score,tournament,target,target_label
1691.4963086963437,1449.7534090995468,241.74289959679686,0.7857142857142857,0.2608695652173913,0.5248447204968945,4.035714285714286,1.826086956521739,2.2096273291925463,1.1785714285714286,3.1739130434782608,-1.9953416149068322,0.6,0.4,0.19999999999999996,3.6,0.4,3.2,10,10,0,0,48,4,0,0.8,47,1886-04-10,scotland,wales,4,1,british home championship,H,2
1490.0,1510.0,-20.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-2.0,1,0,1,0,0,1,0,0.5,48,1886-11-25,united states,canada,3,2,friendly,H,2
1574.5609771758216,1284.189305028288,290.3716721475337,0.42857142857142855,0.0,0.42857142857142855,3.0,0.7692307692307693,2.230769230769231,2.0714285714285716,6.538461538461538,-4.467032967032967,0.4,0.0,0.4,1.4,-5.4,6.800000000000001,5,5,0,0,38,2,0,0.8,49,1887-02-05,england,northern ireland,7,0,british home championship,H,2
1700.4184527809475,1274.063067176334,426.3553856046135,0.7931034482758621,0.0,0.7931034482758621,4.0344827586206895,0.7142857142857143,3.320197044334975,1.1724137931034482,6.571428571428571,-5.399014778325123,0.6,0.0,0.6,3.0,-5.6,8.6,3,3,0,0,20,4,0,0.8,50,1887-02-19,scotland,northern ireland,4,1,british home championship,H,2
1584.6872150277754,1440.831265014943,143.8559500128324,0.4482758620689655,0.25,0.19827586206896552,3.1379310344827585,1.7916666666666667,1.3462643678160917,2.0,3.2083333333333335,-1.2083333333333335,0.6,0.4,0.19999999999999996,2.8,-0.2,3.0,8,5,2,1,21,11,0,0.8,51,1887-02-26,england,wales,4,0,british home championship,H,2
1270.5182784822448,1425.2640757380977,-154.74579725585295,0.0,0.24,-0.24,0.7333333333333333,1.72,-0.9866666666666667,6.4,3.24,3.16,0.0,0.4,-0.4,-5.0,0.4,-5.4,5,0,4,1,4,27,0,0.8,52,1887-03-12,northern ireland,wales,4,1,british home championship,H,2
1600.2544043046207,1703.9632414750367,-103.70883717041602,0.4666666666666667,0.8,-0.33333333333333337,3.1666666666666665,4.033333333333333,-0.8666666666666667,1.9333333333333333,1.1666666666666667,0.7666666666666666,0.8,0.8,0.0,3.6,3.6,0.0,15,2,9,4,25,45,0,0.8,53,1887-03-19,england,scotland,2,3,british home championship,A,0
1393.498508195738,1715.3242414460096,-321.8257332502717,0.23076923076923078,0.8064516129032258,-0.5756823821339949,1.6923076923076923,4.0,-2.3076923076923075,3.269230769230769,1.1935483870967742,2.075682382133995,0.2,0.8,-0.6000000000000001,-1.4,2.4,-3.8,11,0,11,0,5,52,0,0.8,54,1887-03-21,wales,scotland,0,2,british home championship,A,0
1588.8934043336478,1388.2926004928786,200.60080384076923,0.45161290322580644,0.2222222222222222,0.22939068100358423,3.129032258064516,1.6296296296296295,1.4994026284348865,1.967741935483871,3.2222222222222223,-1.2544802867383513,0.6,0.0,0.6,2.4,-2.8,5.199999999999999,9,6,2,1,25,11,0,0.8,55,1888-02-04,england,wales,5,1,british home championship,H,2
1376.023935949146,1302.2838460246046,73.74008992454151,0.21428571428571427,0.0625,0.15178571428571427,1.6071428571428572,0.9375,0.6696428571428572,3.2857142857142856,6.0625,-2.7767857142857144,0.0,0.2,-0.2,-3.2,-3.4,0.19999999999999973,6,4,1,1,28,8,0,0.8,56,1888-03-03,wales,northern ireland,11,0,british home championship,H,2
1720.530149148869,1401.3323984699746,319.1977506788944,0.8125,0.2413793103448276,0.5711206896551724,3.9375,1.9310344827586208,2.006465517241379,1.15625,3.1724137931034484,-2.0161637931034484,0.8,0.2,0.6000000000000001,1.8,-0.4,2.2,12,12,0,0,54,5,0,0.8,57,1888-03-10,scotland,wales,5,1,british home championship,H,2
1727.5626309919537,1601.1620688773803,126.4005621145734,0.8181818181818182,0.46875,0.34943181818181823,3.9696969696969697,3.1875,0.7821969696969697,1.1515151515151516,1.9375,-0.7859848484848484,1.0,0.8,0.19999999999999996,2.6,3.2,-0.6000000000000001,16,10,2,4,48,27,0,0.8,58,1888-03-17,scotland,england,0,5,british home championship,A,0
1276.9753835037761,1688.723941232272,-411.7485577284958,0.058823529411764705,0.7941176470588235,-0.7352941176470588,0.8823529411764706,3.8529411764705883,-2.9705882352941178,6.352941176470588,1.2647058823529411,5.088235294117647,0.2,0.8,-0.6000000000000001,-4.6,1.0,-5.6,4,0,4,0,5,24,0,0.8,59,1888-03-24,northern ireland,scotland,2,10,british home championship,A,0
1271.5051553903543,1640.000758637062,-368.4956032467078,0.05555555555555555,0.48484848484848486,-0.4292929292929293,0.9444444444444444,3.242424242424242,-2.2979797979797976,6.555555555555555,1.878787878787879,4.6767676767676765,0.2,0.8,-0.6000000000000001,-5.2,3.8,-9.0,6,0,6,0,2,45,0,0.8,60,1888-04-07,northern ireland,england,1,5,british home championship,A,0
1694.1941693456938,1499.4249887221547,194.7691806235391,0.8,0.5,0.30000000000000004,4.0285714285714285,1.5,2.5285714285714285,1.2857142857142858,1.5,-0.2142857142857142,0.8,0.5,0.30000000000000004,2.0,0.0,2.0,0,0,0,0,0,0,0,0.5,61,1888-09-19,scotland,canada,4,0,friendly,H,2
1645.4817351113209,1394.2999166268899,251.181818484431,0.5,0.23333333333333334,0.26666666666666666,3.2941176470588234,1.9,1.3941176470588235,1.8529411764705883,3.2333333333333334,-1.380392156862745,0.8,0.2,0.6000000000000001,3.2,-0.4,3.6,10,7,2,1,30,12,0,0.8,62,1889-02-23,england,wales,4,1,british home championship,H,2
1654.0219799416266,1266.0241789160955,387.9978010255311,0.5142857142857142,0.05263157894736842,0.4616541353383458,3.3142857142857145,0.9473684210526315,2.366917293233083,1.8285714285714285,6.473684210526316,-4.645112781954888,0.8,0.2,0.6000000000000001,3.0,-4.6,7.6,7,7,0,0,50,3,0,0.8,63,1889-03-02,england,northern ireland,6,1,british home championship,H,2
1702.0595193520803,1260.4494952673017,441.6100240847786,0.8055555555555556,0.05,0.7555555555555555,4.027777777777778,0.95,3.0777777777777775,1.25,6.45,-5.2,0.8,0.2,0.6000000000000001,2.6,-5.0,7.6,5,5,0,0,34,7,0,0.8,64,1889-03-09,scotland,northern ireland,7,0,british home championship,H,2
1659.5966635904203,1706.728845606068,-47.132182015647686,0.5277777777777778,0.8108108108108109,-0.28303303303303307,3.388888888888889,4.108108108108108,-0.719219219219219,1.8055555555555556,1.2162162162162162,0.5893393393393394,1.0,0.8,0.19999999999999996,4.2,3.6,0.6000000000000001,17,3,10,4,32,48,0,0.8,65,1889-04-13,england,scotland,2,3,british home championship,A,0
1385.7596717965841,1720.5715457361691,-334.811873939585,0.22580645161290322,0.8157894736842105,-0.5899830220713073,1.8709677419354838,4.078947368421052,-2.2079796264855682,3.2580645161290325,1.236842105263158,2.0212224108658745,0.2,0.8,-0.6000000000000001,-0.4,3.0,-3.4,13,0,13,0,6,59,0,0.8,66,1889-04-15,wales,scotland,0,0,british home championship,D,1
1255.780169013314,1397.6941942521855,-141.91402523887155,0.047619047619047616,0.21875,-0.17113095238095238,0.9047619047619048,1.8125,-0.9077380952380952,6.476190476190476,3.15625,3.3199404761904763,0.0,0.2,-0.2,-7.0,0.0,-7.0,7,1,5,1,8,39,0,0.8,67,1889-04-27,northern ireland,wales,1,3,british home championship,A,0
1409.4606168331393,1244.0137464323602,165.44687040077906,0.24242424242424243,0.045454545454545456,0.19696969696969696,1.8484848484848484,0.9090909090909091,0.9393939393939393,3.090909090909091,6.318181818181818,-3.2272727272727275,0.4,0.0,0.4,1.2,-5.2,6.4,8,6,1,1,42,9,1,0.8,68,1890-02-08,wales,northern ireland,5,2,british home championship,H,2
1231.5412167610916,1645.7539634603193,-414.21274669922764,0.043478260869565216,0.5135135135135135,-0.4700352526439483,0.9565217391304348,3.3513513513513513,-2.3948296122209163,6.260869565217392,1.837837837837838,4.423031727379554,0.0,0.8,-0.8,-4.2,3.2,-7.4,8,0,8,0,4,56,0,0.8,69,1890-03-15,northern ireland,england,1,9,british home championship,A,0
1421.933146504408,1651.1536445730871,-229.22049806867926,0.2647058823529412,0.5263157894736842,-0.261609907120743,1.9411764705882353,3.5,-1.5588235294117647,3.0588235294117645,1.8157894736842106,1.2430340557275539,0.4,0.8,-0.4,-0.4,3.8,-4.2,11,2,8,1,13,34,0,0.8,70,1890-03-15,wales,england,1,3,british home championship,A,0
